session_id,pid,session_index,gmm_label,max_posterior,normalized_entropy,log_likelihood_row,posterior_cluster_0,posterior_cluster_1,posterior_cluster_2,posterior_cluster_3,posterior_cluster_4
p2770_s0006,p2770,6,3,0.9998281867161964,0.0011061684095994124,-4.44967857637887,8.794922628418386e-05,1.0945037158215602e-107,8.386401845953659e-05,0.9998281867161964,3.906023402788278e-11
p2770_s0007,p2770,7,3,0.9999484253187338,0.00034840943101381057,-5.819003898689505,5.157468110728899e-05,2.365756849389186e-146,1.5482618127946796e-13,0.9999484253187338,4.470371391419833e-15
p2770_s0008,p2770,8,3,0.999915676636983,0.0005663093759668733,-3.5436083942644827,1.2910197586127993e-05,1.4605143173703202e-94,7.141316542789919e-05,0.999915676636983,3.146099101378655e-15
p2770_s0009,p2770,9,3,0.9990502197579374,0.00479810838231979,-5.760459075484919,3.913964378740726e-05,2.429004115754649e-90,0.0009106405982751229,0.9990502197579374,1.8721117644033467e-24
p2770_s0010,p2770,10,3,0.9748501988032864,0.0731755115534593,-4.849321173508488,4.289221094756718e-05,2.8650002893580957e-83,0.025106908985766205,0.9748501988032864,3.905350932087174e-18
p2771_s0001,p2771,1,4,0.9999919088678522,6.76857189350112e-05,-5.2527650519527835,1.266140722567046e-06,2.6715722060737197e-67,6.023811786172043e-06,8.011796394016087e-07,0.9999919088678522
p2771_s0002,p2771,2,1,0.9999999999446159,8.471117081301159e-10,-6.392021968205423,5.538351124120829e-11,0.9999999999446159,2.9435476168697686e-18,3.9508255961582468e-16,3.636918977601302e-33
p2771_s0003,p2771,3,1,0.9999999999248805,1.1347455671006388e-09,-7.510058827870558,7.511909646157259e-11,0.9999999999248805,9.530447172037014e-19,3.7089456360227196e-16,5.0857095913781694e-37
p2771_s0004,p2771,4,1,0.9999999998508864,2.189380712519049e-09,-4.709782134977238,1.4904010286637479e-10,0.9999999998508864,6.68761901018505e-14,7.135826207051144e-15,7.858227923631804e-21
p2773_s0001,p2773,1,4,0.9999295606319207,0.0004749625431287495,-7.65337953264043,6.007260240119492e-06,6.220765936079072e-151,2.8629768697375867e-17,6.443210783895391e-05,0.9999295606319207
p2773_s0002,p2773,2,3,0.999810009827532,0.001193611480571877,-4.087561052232319,4.4261247244830304e-05,9.384284415903182e-108,0.0001457289251909785,0.999810009827532,3.248355888369131e-14
p2773_s0003,p2773,3,2,0.9990253857879987,0.004818944247317016,-6.121025578359835,3.6783741622550898e-06,1.1458052529057074e-59,0.9990253857879987,0.0009709358378387379,6.66182314443325e-29
